Geneid	Chr	Start	End	Strand	Length	A1014C05.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1014C06.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C13.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C14.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C23.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam	A1023C24.R1_dmel-all-chromosome-r6.21_R1_hg38_noDup.bam
"RP11-54O7.11"	chr1	1011996	1013193	-	1198	6	5	1	2	1	1
"AGRN"	chr1	1020122	1056118	+	35997	167	72	90	75	68	45
"RP11-54O7.14"	chr1	1055032	1056116	+	1085	6	0	1	1	2	1
"RP11-465B22.3"	chr1	1059733	1069355	+	9623	46	25	29	29	32	24
"RP11-54O7.18"	chr1	1062207	1063288	-	1082	3	0	0	1	1	1
"RNF223"	chr1	1070965	1074307	-	3343	10	4	7	6	1	3
"C1orf159"	chr1	1081817	1116361	-	34545	607	325	344	344	331	245
"LINC01342"	chr1	1137016	1144056	+	7041	42	19	29	21	29	24
"MIR200B"	chr1	1167103	1167198	+	96	0	1	1	0	0	0
"MIR200A"	chr1	1167862	1167952	+	91	0	1	0	0	0	0
"MIR429"	chr1	1169004	1169087	+	84	0	0	0	0	0	0
"RP11-465B22.8"	chr1	1169356	1170343	+	988	2	0	1	2	3	1
"TTLL10-AS1"	chr1	1173055	1179555	-	6501	30	12	12	9	8	7
"TTLL10"	chr1	1173883	1197935	+	24053	254	161	142	176	148	118
"TNFRSF18"	chr1	1203507	1206691	-	3185	12	3	5	7	3	3
"TNFRSF4"	chr1	1211325	1214138	-	2814	20	9	7	6	8	5
"SDF4"	chr1	1216907	1232031	-	15125	98	40	48	49	36	34
"B3GALT6"	chr1	1232264	1235041	+	2778	5	3	9	5	1	3
"C1QTNF12"	chr1	1242445	1246722	-	4278	28	4	11	5	5	2
"RP5-902P8.12"	chr1	1249776	1251334	-	1559	13	3	2	2	7	4
"UBE2J2"	chr1	1253908	1273885	-	19978	175	51	72	56	68	45
"LINC01786"	chr1	1275222	1280420	+	5199	48	22	30	12	26	26
"SCNN1D"	chr1	1280435	1292029	+	11595	122	65	55	67	61	45
"ACAP3"	chr1	1292375	1309609	-	17235	123	58	74	47	59	41
"MIR6726"	chr1	1296109	1296170	-	62	0	0	0	0	0	0
"PUSL1"	chr1	1308566	1311677	+	3112	4	3	3	4	2	3
"INTS11"	chr1	1311584	1324691	-	13108	53	27	39	15	30	12
"MIR6727"	chr1	1312501	1312566	-	66	0	0	0	0	0	0
"RP5-890O3.9"	chr1	1317580	1318689	-	1110	4	6	7	2	4	0
"CPTP"	chr1	1324755	1328897	+	4143	8	5	3	4	4	2
"TAS1R3"	chr1	1331313	1335306	+	3994	13	6	7	9	6	6
"DVL1"	chr1	1335275	1349350	-	14076	105	29	49	29	58	39
"MIR6808"	chr1	1339649	1339708	-	60	1	0	0	0	1	0
"MXRA8"	chr1	1352688	1361777	-	9090	28	11	12	12	8	9
"AURKAIP1"	chr1	1373729	1375495	-	1767	1	1	2	0	0	0
"NDUFB4P8"	chr1	1378665	1379032	+	368	2	1	0	0	1	1
"CCNL2"	chr1	1385710	1399328	-	13619	53	20	41	19	24	22
"RP4-758J18.2"	chr1	1399521	1402046	+	2526	3	1	0	2	3	0
"MRPL20"	chr1	1401907	1407313	-	5407	17	7	7	6	8	2
"RN7SL657P"	chr1	1405459	1405752	-	294	0	1	0	1	0	0
"RP4-758J18.13"	chr1	1409095	1410618	+	1524	6	16	11	14	11	9
"ANKRD65"	chr1	1418419	1421769	-	3351	11	6	1	6	5	3
"RP4-758J18.7"	chr1	1420244	1422691	+	2448	7	7	3	7	1	2
"TMEM88B"	chr1	1426127	1427787	+	1661	3	0	3	0	1	0
"LINC01770"	chr1	1430538	1434573	-	4036	10	4	4	4	4	1
"VWA1"	chr1	1434860	1442882	+	8023	30	9	11	9	10	9
"ATAD3C"	chr1	1449688	1470158	+	20471	158	82	84	74	95	57
"ATAD3B"	chr1	1471768	1497848	+	26081	113	57	61	54	59	41
"ATAD3A"	chr1	1512150	1534687	+	22538	93	42	47	54	44	31
"TMEM240"	chr1	1535173	1540453	-	5281	23	10	6	10	6	3
"SSU72"	chr1	1541672	1574869	-	33198	125	64	65	55	69	33
"RP5-832C2.5"	chr1	1574974	1577075	+	2102	16	5	5	5	7	3
"RP11-345P4.11"	chr1	1583509	1583909	-	401	6	2	1	0	3	2
"FNDC10"	chr1	1598011	1600096	-	2086	5	3	2	1	1	2
"RP11-345P4.9"	chr1	1613757	1615795	-	2039	3	3	2	1	0	1
"MIB2"	chr1	1615414	1630610	+	15197	45	18	11	19	9	7
"MMP23B"	chr1	1632094	1635263	+	3170	13	7	5	2	3	1
"CDK11B"	chr1	1635226	1659012	-	23787	103	44	41	46	48	29
"RP11-345P4.10"	chr1	1659324	1662602	+	3279	14	10	11	9	6	6
"SLC35E2B"	chr1	1659528	1692728	-	33201	135	74	75	91	57	33
"RP11-345P4.6"	chr1	1671989	1674397	+	2409	7	5	8	8	1	0
"MMP23A"	chr1	1699941	1701782	+	1842	7	0	3	1	1	4
"CDK11A"	chr1	1702729	1724324	-	21596	82	33	30	23	33	20
"RP1-283E3.8"	chr1	1702735	1737688	-	34954	138	70	62	47	54	49
"RP1-283E3.4"	chr1	1724511	1737251	+	12741	54	36	31	24	21	28
"SLC35E2"	chr1	1724837	1745992	-	21156	92	51	50	37	35	43
"NADK"	chr1	1751231	1780457	-	29227	112	63	56	46	38	40
"GNB1"	chr1	1785284	1891117	-	105834	580	275	326	297	296	190
"RP1-140A9.1"	chr1	1891470	1892658	+	1189	4	1	1	1	0	0
"CALML6"	chr1	1914826	1917296	+	2471	14	7	5	5	15	3
"TMEM52"	chr1	1917589	1919273	-	1685	10	5	12	5	5	4
"CFAP74"	chr1	1921950	2003837	-	81888	830	416	498	426	450	259
"RP11-547D24.1"	chr1	2013212	2015530	-	2319	20	6	13	12	13	6
"GABRD"	chr1	2019297	2030758	+	11462	51	38	36	24	26	20
"RP11-547D24.3"	chr1	2049202	2050070	-	869	8	2	2	2	1	1
"PRKCZ"	chr1	2050469	2185395	+	134927	875	534	466	551	447	321
"RP5-892K4.1"	chr1	2141083	2145279	-	4197	35	11	13	10	17	13
"PRKCZ-AS1"	chr1	2181793	2184389	-	2597	15	6	10	13	13	5
"FAAP20"	chr1	2184460	2212720	-	28261	131	54	54	55	57	35
"RP11-181G12.4"	chr1	2212522	2220738	+	8217	59	23	30	31	27	20
"SKI"	chr1	2228694	2310119	+	81426	358	171	169	179	190	122
"MORN1"	chr1	2321252	2391707	-	70456	470	261	222	296	254	188
"RP4-713A8.1"	chr1	2326200	2326693	-	494	4	2	1	0	0	2
"RP4-740C4.5"	chr1	2350413	2352820	-	2408	17	3	7	11	7	5
"RP4-740C4.7"	chr1	2363060	2363628	-	569	3	1	2	5	2	1
"RER1"	chr1	2391774	2405444	+	13671	37	16	11	14	10	8
"PEX10"	chr1	2403963	2413797	-	9835	14	10	13	10	7	7
"PLCH2"	chr1	2425979	2505530	+	79552	285	115	134	104	132	78
"RP3-395M20.2"	chr1	2492299	2493258	-	960	3	0	1	0	1	0
"RP3-395M20.3"	chr1	2493436	2494479	-	1044	2	1	0	1	0	0
"PANK4"	chr1	2508532	2526628	-	18097	19	8	4	4	7	9
"HES5"	chr1	2528744	2530245	-	1502	1	1	0	0	0	1
"RP3-395M20.12"	chr1	2546464	2547460	+	997	4	1	0	1	2	0
"RP3-395M20.8"	chr1	2549919	2557031	-	7113	12	10	7	9	10	6
"TNFRSF14"	chr1	2555638	2565382	+	9745	17	5	7	7	8	1
"RP3-395M20.7"	chr1	2566409	2569888	+	3480	7	7	5	2	3	1
"RP3-395M20.9"	chr1	2581559	2584533	+	2975	14	4	10	9	13	4
"FAM213B"	chr1	2586490	2591469	+	4980	9	8	6	6	7	5
"MMEL1"	chr1	2590638	2632990	-	42353	292	164	169	171	195	113
"RP13-436F16.1"	chr1	2632567	2636620	+	4054	40	29	22	32	20	15
"TTC34"	chr1	2635975	2801717	-	165743	2167	1375	1362	1693	1197	767
"ABC14-1188822O7.1"	chr1	2773602	2776473	+	2872	34	27	21	28	18	11
"RP11-740P5.2"	chr1	2811849	2812692	-	844	10	8	9	10	12	9
"RP11-740P5.3"	chr1	2814431	2814998	-	568	13	4	5	5	8	3
"ACTRT2"	chr1	3021482	3022903	+	1422	15	7	6	11	7	3
"LINC00982"	chr1	3059614	3068437	-	8824	101	37	68	37	63	19
"PRDM16"	chr1	3069167	3438621	+	369455	6419	3127	4079	3762	3461	2046
"MIR4251"	chr1	3127974	3128035	+	62	2	0	1	0	0	0
"RP1-163G9.2"	chr1	3132926	3133709	-	784	11	3	4	3	1	1
"RP11-193J6.1"	chr1	3205987	3208664	+	2678	37	8	24	13	19	11
"RP11-22L13.1"	chr1	3306635	3310096	-	3462	57	18	27	19	27	15
"ARHGEF16"	chr1	3454425	3481113	+	26689	137	51	59	59	54	43
"RP11-168F9.2"	chr1	3487245	3487627	+	383	4	7	4	5	3	5
"MEGF6"	chr1	3489919	3611495	-	121577	691	343	388	324	339	224
"MIR551A"	chr1	3560694	3560790	-	97	1	0	3	1	0	0
"RP11-46F15.2"	chr1	3623189	3624743	-	1555	5	3	2	2	2	3
"TPRG1L"	chr1	3625001	3630127	+	5127	15	4	4	4	5	8
"WRAP73"	chr1	3630766	3652761	-	21996	62	20	18	25	11	17
"TP73"	chr1	3652519	3736201	+	83683	375	186	165	189	149	115
"RP5-1092A11.5"	chr1	3658937	3668772	-	9836	49	33	29	29	26	17
"RP5-1092A11.2"	chr1	3712199	3714298	-	2100	4	3	1	2	1	2
"TP73-AS1"	chr1;chr1	3735600;3736942	3747336;3737103	-;+	11899	62	39	39	30	23	10
"CCDC27"	chr1	3746459	3771645	+	25187	198	105	139	129	133	77
"SMIM1"	chr1	3772787	3775982	+	3196	13	1	3	3	1	1
"LRRC47"	chr1	3778557	3796504	-	17948	75	27	44	41	37	23
"RN7SL574P"	chr1	3782814	3783111	+	298	4	0	3	0	1	0
"RP1-286D6.5"	chr1	3785007	3785538	+	532	1	0	0	0	0	0
"CEP104"	chr1	3812080	3857214	-	45135	259	163	138	166	139	112
"DFFB"	chr1	3857266	3885429	+	28164	278	144	138	176	143	117
"C1orf174"	chr1	3889124	3900293	-	11170	62	29	38	29	34	24
"LINC01134"	chr1	3900371	3917225	+	16855	98	37	46	33	52	38
"LINC01346"	chr1	3940564	3955262	+	14699	205	125	111	136	113	71
"LINC01345"	chr1	3944546	3948980	-	4435	59	29	30	47	29	23
"EEF1DP6"	chr1	4175527	4175899	-	373	13	5	9	10	4	4
"LINC01777"	chr1	4412026	4424689	+	12664	264	186	166	281	198	127
"RP1-37J18.1"	chr1	4551734	4552145	-	412	13	10	12	15	13	6
"LINC01646"	chr1	4571480	4594009	+	22530	441	335	266	390	298	221
"AJAP1"	chr1	4654731	4792534	+	137804	2365	1558	1553	1922	1408	1020
"RP11-542C10.1"	chr1	5086458	5090899	-	4442	91	83	44	101	70	56
"RP1-58B11.1"	chr1	5492977	5494674	+	1698	14	13	11	8	7	2
"RP3-491M17.1"	chr1	5554746	5554881	+	136	4	5	1	3	2	1
"RP11-154H17.1"	chr1	5561708	5668295	-	106588	1900	1414	1245	1674	1221	883
"MIR4417"	chr1	5564070	5564143	+	74	2	2	0	1	1	0
"MIR4689"	chr1	5862671	5862741	-	71	0	0	1	0	0	0
"NPHP4"	chr1	5862810	5992473	-	129664	823	490	496	501	431	337
"KCNAB2"	chr1	5991465	6101193	+	109729	718	356	440	376	379	280
"CHD5"	chr1	6101792	6180123	-	78332	887	450	511	512	555	299
"RPL22"	chr1	6181268	6209389	-	28122	162	65	86	73	88	70
"RP1-120G22.11"	chr1	6204839	6205780	-	942	7	2	4	1	0	1
"RNF207"	chr1	6205474	6221299	+	15826	97	28	33	43	38	27
"ICMT"	chr1	6221192	6235972	-	14781	58	25	27	35	31	21
"LINC00337"	chr1	6236239	6239444	+	3206	14	4	8	7	10	3
"HES3"	chr1	6244191	6245578	+	1388	5	3	3	0	1	3
"GPR153"	chr1	6247345	6260975	-	13631	64	31	34	30	43	18
"ACOT7"	chr1	6264268	6394391	-	130124	684	350	376	344	320	214
"RP1-202O8.3"	chr1	6393554	6394391	+	838	2	0	0	0	0	0
"HES2"	chr1	6412417	6424670	-	12254	63	33	30	26	28	14
"ESPN"	chr1	6424787	6461370	+	36584	167	88	116	87	94	58
"MIR4252"	chr1	6429833	6429896	-	64	1	1	0	0	2	0
"RP1-202O8.2"	chr1	6443033	6447006	-	3974	21	6	10	8	8	7
"TNFRSF25"	chr1	6461150	6466195	-	5046	23	11	15	13	11	10
"PLEKHG5"	chr1	6466091	6520061	-	53971	224	103	127	112	106	88
"NOL9"	chr1	6521346	6554535	-	33190	161	67	93	68	87	60
"RNU6-731P"	chr1	6540853	6540964	+	112	0	0	0	1	0	0
"RP11-58A11.2"	chr1	6547904	6548619	+	716	2	1	4	2	0	1
"TAS1R1"	chr1	6555180	6579757	+	24578	393	247	238	241	265	135
"ZBTB48"	chr1	6580000	6589280	+	9281	38	20	24	14	12	10
"KLHL21"	chr1	6590723	6614607	-	23885	65	40	37	46	45	24
"PHF13"	chr1	6613684	6624033	+	10350	37	14	14	20	9	11
"THAP3"	chr1	6624865	6635586	+	10722	43	11	16	14	14	12
"DNAJC11"	chr1	6634167	6701924	-	67758	455	240	260	243	240	175
"LINC01672"	chr1	6724636	6730012	+	5377	61	26	45	38	39	20
"RP11-312B8.1"	chr1	6783891	6784843	-	953	3	1	0	0	0	0
"CAMTA1"	chr1	6785323	7769706	+	984384	14285	8297	9065	9871	8798	5600
"RP11-312B8.2"	chr1	6834332	6834618	-	287	7	1	3	2	5	2
"RP11-334N17.1"	chr1	7008375	7014279	-	5905	80	24	56	35	38	14
"RNU1-8P"	chr1	7219359	7219524	+	166	1	1	0	1	1	0
"CAMTA1-IT1"	chr1	7368941	7370270	+	1330	39	22	20	22	23	15
"RP3-453P22.2"	chr1	7382486	7389754	-	7269	107	41	53	42	53	23
"RP4-549F15.1"	chr1	7441095	7441554	-	460	7	2	5	2	1	2
"RP11-338N10.1"	chr1	7693123	7694844	-	1722	35	20	32	26	15	12
"RP11-338N10.2"	chr1	7698302	7698872	-	571	9	2	3	3	7	1
"RP11-338N10.3"	chr1	7700703	7700970	-	268	3	2	1	0	3	1
"VAMP3"	chr1	7771268	7781432	+	10165	33	24	37	18	38	11
"RP3-467L1.6"	chr1	7776382	7776775	+	394	2	2	4	1	6	0
"PER3"	chr1	7784319	7845177	+	60859	398	244	195	242	218	161
"RP3-467L1.4"	chr1	7810241	7827342	-	17102	120	81	57	69	62	54
"UTS2"	chr1	7843082	7853512	-	10431	73	41	39	34	46	35
"TNFRSF9"	chr1	7915893	7943165	-	27273	316	142	156	178	191	139
"RP5-892F13.2"	chr1	7942371	7942726	+	356	2	0	1	1	3	1
"PARK7"	chr1	7954290	7985505	+	31216	168	74	102	88	90	62
